row_id,observation_date,processed_date,observation_type,department,processing_time_days,event_year,event_month
0,2024-01-10,2024-01-11,hazard_report,warehouse,1.0,2024,1
1,2024-01-18,2024-01-19,unsafe_act,safety,1.0,2024,1
2,2024-01-25,2024-01-26,hazard_report,facility_management,1.0,2024,1
3,2024-02-02,2024-02-03,safety_observation,warehouse,1.0,2024,2
4,2024-02-09,2024-02-10,hazard_report,warehouse,1.0,2024,2
5,2024-02-16,2024-02-17,safety_observation,safety,1.0,2024,2
6,2024-02-23,2024-02-24,hazard_report,maintenance,1.0,2024,2
7,2024-03-01,2024-03-02,,warehouse,1.0,2024,3
8,2024-03-08,2024-03-09,hazard_report,safety,1.0,2024,3
9,2024-03-15,2024-03-16,hazard_report,maintenance,1.0,2024,3
10,2024-03-22,2024-03-23,hazard_report,,1.0,2024,3
11,2024-03-29,2024-03-30,quality_issue,quality_control,1.0,2024,3
12,2024-04-05,2024-04-06,safety_observation,maintenance,1.0,2024,4
13,2024-04-12,2024-04-13,incident,safety,1.0,2024,4
14,2024-04-19,2024-04-20,hazard_report,maintenance,1.0,2024,4
15,2024-04-26,2024-04-27,environmental_observation,warehouse,1.0,2024,4
16,2024-05-03,2024-05-04,safety_observation,administration,1.0,2024,5
17,2024-05-10,2024-05-11,safety_observation,warehouse,1.0,2024,5
18,2024-05-17,2024-05-18,unsafe_act,warehouse,1.0,2024,5
19,2024-05-24,2024-05-25,environmental_observation,maintenance,1.0,2024,5
20,2024-05-31,2024-06-01,safety_observation,maintenance,1.0,2024,5
21,2024-06-07,2024-06-10,hazard_report,,3.0,2024,6
22,2024-06-14,2024-06-15,environmental_observation,maintenance,1.0,2024,6
23,2024-06-21,2024-06-24,unsafe_act,warehouse,3.0,2024,6
24,2024-06-28,2024-07-01,safety_observation,warehouse,3.0,2024,6
25,2024-07-05,2024-07-08,hazard_report,safety,3.0,2024,7
26,2024-07-12,2024-07-15,hazard_report,,3.0,2024,7
27,2024-07-19,2024-07-22,unsafe_act,maintenance,3.0,2024,7
28,2024-07-26,2024-07-29,,maintenance,3.0,2024,7
29,2024-08-02,2024-08-05,,warehouse,3.0,2024,8
30,2024-08-09,2024-08-12,incident,warehouse,3.0,2024,8
31,2024-08-16,2024-08-19,,warehouse,3.0,2024,8
32,2024-08-23,2024-08-26,unsafe_act,production,3.0,2024,8
33,2024-08-30,2024-09-02,unsafe_act,maintenance,3.0,2024,8
34,2024-09-06,2024-09-09,safety_observation,safety,3.0,2024,9
35,2024-09-13,2024-09-16,hazard_report,safety,3.0,2024,9
36,2024-09-20,2024-09-23,,,3.0,2024,9
37,2024-09-27,2024-09-30,safety_observation,safety,3.0,2024,9
38,2024-10-04,2024-10-07,incident,,3.0,2024,10
39,2024-10-11,2024-10-14,,facility_management,3.0,2024,10
40,2024-10-18,2024-10-21,,,3.0,2024,10
41,2024-10-25,2024-10-28,safety_observation,safety,3.0,2024,10
42,2024-11-01,2024-11-04,safety_observation,warehouse,3.0,2024,11
43,2024-11-08,2024-11-11,,,3.0,2024,11
44,2024-11-15,2024-11-18,quality_issue,logistics,3.0,2024,11
45,2024-11-22,2024-11-25,hazard_report,maintenance,3.0,2024,11
46,2024-11-29,2024-12-02,incident,,3.0,2024,11
47,2024-12-06,2024-12-09,hazard_report,production,3.0,2024,12
48,2024-12-13,2024-12-16,hazard_report,,3.0,2024,12
49,2024-12-20,2024-12-23,safety_observation,,3.0,2024,12
