observation_type,event_month,avg_processing_time_days,num_observations
,3,1.0,2
,5,1.0,3
,6,1.0,1
,7,3.0,3
,10,3.0,2
,11,3.0,1
,12,3.0,2
hazard_report,1,1.0,1
hazard_report,2,1.0,1
hazard_report,3,1.0,1
hazard_report,7,3.0,1
incident,3,1.0,1
incident,4,1.0,3
incident,5,1.0,1
incident,8,3.0,2
incident,9,3.0,2
incident,10,3.0,1
incident,11,3.0,2
incident,12,3.0,1
injury_report,9,3.0,1
property_damage,3,1.0,1
property_damage,4,1.0,1
property_damage,6,3.0,1
property_damage,11,3.0,1
quality_issue,8,3.0,1
safety_observation,1,1.0,1
safety_observation,2,1.0,2
safety_observation,5,1.0,1
safety_observation,6,3.0,2
safety_observation,8,3.0,2
safety_observation,9,3.0,1
unsafe_act,1,1.0,1
unsafe_act,2,1.0,1
unsafe_act,10,3.0,1
unsafe_condition,11,3.0,1
